[58.0, 36.0, 55.0, 89.0, 40.0, 53.0, 55.0, 83.0, 49.0, 55.0, 58.0, 72.0, 41.0, 53.0, 54.0, 53.0]
[64.0, 45.0, 70.0, 99.0, 61.0, 40.0, 44.0, 85.0, 83.0, 66.0, 75.0, 57.0, 82.0, 68.0, 69.0, 52.0]
[73.0, 44.0, 75.0, 115.0, 54.0, 80.0, 50.0, 90.0, 91.0, 90.0, 80.0, 93.0, 83.0, 60.0, 76.0, 89.0]
[32.0, 41.0, 49.0, 73.0, 48.0, 45.0, 46.0, 58.0, 58.0, 53.0, 49.0, 62.0, 62.0, 51.0, 55.0, 52.0]
[72.0, 49.0, 78.0, 121.0, 61.0, 62.0, 55.0, 102.0, 78.0, 71.0, 61.0, 67.0, 73.0, 75.0, 80.0, 59.0]
[66.0, 26.0, 60.0, 96.0, 49.0, 45.0, 42.0, 81.0, 76.0, 71.0, 63.0, 52.0, 69.0, 63.0, 59.0, 58.0]
[64.0, 33.0, 51.0, 76.0, 45.0, 47.0, 47.0, 75.0, 73.0, 66.0, 64.0, 71.0, 74.0, 56.0, 67.0, 60.0]
[61.0, 30.0, 52.0, 76.0, 56.0, 36.0, 43.0, 75.0, 50.0, 53.0, 58.0, 44.0, 53.0, 57.0, 48.0, 55.0]
[58.0, 41.0, 57.0, 85.0, 52.0, 48.0, 28.0, 68.0, 68.0, 66.0, 60.0, 62.0, 71.0, 53.0, 61.0, 57.0]
[83.0, 58.0, 86.0, 138.0, 84.0, 70.0, 64.0, 111.0, 97.0, 93.0, 88.0, 101.0, 96.0, 83.0, 92.0, 85.0]
[76.0, 49.0, 66.0, 117.0, 77.0, 63.0, 53.0, 99.0, 70.0, 80.0, 71.0, 86.0, 77.0, 76.0, 74.0, 74.0]
[47.0, 36.0, 55.0, 81.0, 40.0, 36.0, 39.0, 67.0, 63.0, 60.0, 70.0, 68.0, 51.0, 44.0, 54.0, 42.0]
[71.0, 47.0, 58.0, 83.0, 64.0, 46.0, 27.0, 68.0, 70.0, 73.0, 56.0, 64.0, 81.0, 48.0, 70.0, 62.0]
[54.0, 27.0, 45.0, 63.0, 34.0, 39.0, 33.0, 64.0, 39.0, 40.0, 46.0, 45.0, 36.0, 41.0, 39.0, 43.0]
[69.0, 47.0, 46.0, 94.0, 59.0, 61.0, 59.0, 88.0, 69.0, 63.0, 53.0, 79.0, 73.0, 61.0, 69.0, 61.0]
[91.0, 60.0, 72.0, 112.0, 81.0, 68.0, 59.0, 104.0, 88.0, 90.0, 79.0, 86.0, 97.0, 76.0, 90.0, 85.0]
